Name,Position,Age,Team_from,League_from,Team_to,League_to,Season,Market_value,Transfer_fee
Breel Embolo,Centre-Forward,19,FC Basel,Swiss Super League,FC Schalke 04,1.Bundesliga,2016-2017,20000000,22500000
Brown Ideye,Centre-Forward,28,Olympiacos,Super League Souroti,TJ Teda,Chinese Super League,2016-2017,6000000,12000000
Carlos Tevez,Second Striker,32,Boca Juniors,Argentine Primera Division,SH Shenhua,Chinese Super League,2016-2017,8500000,10500000
Chengdong Zhang,Right Winger,27,BJ Sinobo Guoan,Chinese Super League,HB CFFC,Chinese Super League,2016-2017,475000,20440000
Chenglin Zhang,Left-Back,29,BJ Renhe,English League One,GZ Evergrande,Chinese Super League,2016-2017,125000,9650000
Christian Benteke,Centre-Forward,25,Liverpool,Premier League,Crystal Palace,Premier League,2016-2017,27000000,31200000
Christian Kabasele,Centre-Back,25,KRC Genk,Jupiler Pro League,Watford,Premier League,2016-2017,6000000,6950000
Christoph Kramer,Defensive Midfield,25,Bay. Leverkusen,1.Bundesliga,Bor. M'gladbach,1.Bundesliga,2016-2017,12000000,15000000
Ciro Immobile,Centre-Forward,26,Sevilla FC,La Liga,Lazio,Serie A,2016-2017,10000000,9450000
Claudio Bravo,Goalkeeper,33,FC Barcelona,La Liga,Man City,Premier League,2016-2017,15000000,18000000
